,Pyruvic acid,Lactate,Citric acid,trans-Aconitate,Oxoglutaric acid,Succinic acid,Fumaric acid,Malic acid,Itaconic acid,GABA,Glycerylphosphorylethanolamine,Aspartic Acid,Glutamate,Proline,Phenylalanine,Serine,Tyrosine,Threonine,Tryptophan,Glutamine,Glycine,Isoleucine,Valine,Leucine,Alanine,Histidine,Arginine,Ornithine,Citrulline,N2-Acetyl-L-ornithine,Asparagine,Nicotinamide adenine dinucleotide (NAD),Adenine,Inosine,Adenosine5'-monophosphate,cAMP,Ergothioneine,L-2-Aminoadipic acid,Diaminopimelic acid,D-Alanyl-D-alanine,Lysine
232,52666456.22,1913304.938,739583845.7,20876095.97,1711386.188,3601107.469,2743156.969,25440151.69,6764663.813,921827.1563,3080656.219,17795212.88,196925117.8,218094.9375,335389.3125,3194331.938,1516591.313,10453140.84,394637.7188,99149888.06,64852.21875,2188504.313,4819256.063,2188504.313,10692119.63,188192.8125,176383.9688,220533.8438,11154014.44,1508945.625,124270.7813,323228.8125,369261.75,163486.125,1343179.406,12987.45938,14265310.13,30764964.66,32091196.5,7119530.344,8213113.219
232,51644639.48,1055196.936,727168188.6,24041972.6,918841.1272,1959654.451,1855664.393,15012274.16,7747469.133,449668.8728,1976912.688,11628180.43,160122478.9,180073.1792,405521.3584,2155212.832,1092640.491,7843433.324,321706.1272,64468097.08,36048.20809,1666967.341,4070247.659,1666967.341,7790189.827,118982.1676,123094.7688,136104.0173,7230351.503,658383.3815,81769.42197,163727.6879,281209.5954,108186.5896,760978.0925,6166.173988,7822608.035,17427241.82,20347692.23,4543301.705,5469255.954
281,61136647.11,63369040.98,568853351.9,31210347.06,17186029.18,2791600.979,3396781.856,20182369.64,9571842.216,200042.9381,267890.2577,3769062.68,120148902.2,399000.6186,144900.6186,973981.3918,405006.9588,1515730.825,57499.94845,19740763.3,77914.02062,1042296.495,1977844.794,1042296.495,15066633.09,140260.2062,95203.29897,119958.4021,3339132.216,9666035.103,162021.4948,0,272137.732,58042.57732,384068.9691,2188.665464,3725521.392,3763430.567,48583171.55,3574651.856,1968002.629
281,32626813.48,305044.4946,420454440.9,18525705,866783.7184,750990.6498,896564.1336,6678806.859,5317694.458,134061.0108,867196.5162,11542685.79,128068903,82860.97473,177450.6498,1368608.285,1141648.105,5388322.202,219398.7726,53813754.04,29911.46209,1201097.545,3504496.354,1201097.545,6768685.397,89747.49097,146130.4332,60805.77617,3191936.318,532994.0794,75391.29964,290341.0289,229469.7292,110131.8412,1179959.675,4164.605957,41351878.86,17633806.14,18494522.38,3652389.368,6618682.527
281,61162953.58,4161957.537,612804016.9,32768592.43,4141843.545,1291318.321,951439.2537,6502129.142,10131506.08,57077.68657,1375377.201,7765206.604,181248378.7,119708.7313,430940.597,1826201.53,947389.3657,6619020.56,244821.8284,42076467.76,181933.4328,1068384.851,3403273.993,1068384.851,7753463.284,65922.42537,129542.2388,69173.17164,1894345.299,949421.0821,143601.7164,213235.4104,828872.5746,95964.73881,556487.1269,2760.967164,17263413.13,10657016.31,17211076.12,2913860.597,5159042.687
281,57229351.8,1638453.722,466953906.7,15390190.15,1914524.774,2439455.526,1907155.602,14227280.08,4900581.88,126244.8496,1449284.323,10024408.76,172535987.9,162749.5489,403953.4962,2006134.511,1340247.857,8320096.466,196088.2331,65629008.05,53440.15038,1309310.977,3645065.865,1309310.977,10384351.92,97136.61654,146059.7368,71794.84962,3303422.82,564642.406,98446.69173,228867.406,263297.8195,106075.1504,708518.6842,5431.216917,25484305.83,13035589.29,18045494.21,3521795.977,6328768.534
281,35188902.38,99661483.63,470246081.3,24217469.38,24608390.13,2396420.125,4809492.875,35546275.88,7585021.125,935874.5,962313,9455166.875,220481420.5,403141.75,0,1569279.25,690562.125,2301132.625,58306.875,47721704.25,108128.625,1328958.125,2525133.875,1328958.125,13682105.25,173453.5,173635,192253.875,5247119.625,65591301.88,144474,84488.25,1999434.25,146878.875,615209.375,8146.47625,28536897.13,12381703.13,118563604.5,5057830.25,4286757.75
281,50776899.09,565084.2353,536601824.6,22270530.44,1066696.853,1142446.412,1501901.824,8341206.176,6970059.088,128950.4118,986698.0588,9970990.765,169865262.8,112551.3529,318222.8824,1675479.882,1157639.029,6578147.206,212173.5,59788491.53,30513.35294,1299668.118,3316506.794,1299668.118,7712789.118,94924.5,147111.0882,56019.44118,2837816.559,413691.8824,89543.55882,261125.1176,247726.1471,110949.8824,729149.5588,3545.122059,28124417.91,13627778.03,16713000.44,3177915.529,5991293.647
293,23131891.24,158493.9381,375016306.5,14651081.55,267688.4071,429228.7611,389850.2212,1309369.912,4404223.319,994909.115,358181.4159,10492515,131380515,125941.7257,60103.80531,2200192.257,423232.3009,1344722.257,169678.4071,48501383.01,25811.54867,1084722.168,3879511.637,1084722.168,1861044.248,149076.2832,114939.292,56709.38053,1539360.929,526178.6726,78136.0177,210738.0973,178962.2124,174893.1858,472810.177,2680.792478,33114996.24,20066704.25,1910675.664,4179693.363,4475982.743
293,17570950.56,215072.1302,398220832.1,14158831.11,225323.1213,524239.6598,444250.784,2310188.92,4245252.781,1411355.814,419001.8787,14921603.65,143591695.2,126588.1953,48935.19231,2518790.414,431406.1686,2379996.612,202496.0059,52781488.76,26779.30473,1297359.852,5333860.784,1297359.852,2756834.645,194741.9822,137300.9911,64572.11538,1710981.169,728464.7485,93719.51183,303008.3432,250904.9556,242549.5118,574001.8047,2612.526036,52694857.41,28239214.48,2137694.112,5862331.864,7310954.246
293,4654232.876,71795.11799,145345778.2,6809021.578,63114.52802,109057.0501,87651.82891,319106.2684,1888497.684,420237.6401,263988.8053,4810162.257,44319362.45,53730.78171,24755.0295,1010578.437,201415.0295,719646.6077,99371.69617,17679529.51,9810.280236,451283.5988,1987305.428,451283.5988,682602.4041,87007.56637,55952.68437,37276.20944,550019.9558,202724.9705,49319.10029,136699.6608,77311.50442,48994.29204,291677.8171,1343.599705,21283303.92,9597459.44,996176.2242,2071077.404,2581195.914
293,24784211.7,158996.4948,470617269,22061730.41,258777.8351,315273.6082,52896.95876,779982.2165,6427669.691,635811.3402,466579.7423,9214530.464,135896509.6,131971.0825,80733.19588,2087206.34,416957.268,2017475.412,234172.4227,45897389.43,23376.70103,1034231.907,5562170.412,1034231.907,1771271.598,184624.7938,102132.732,61248.45361,1198554.897,381280.9794,94673.14433,229962.3711,212255.2062,153719.8969,453506.7526,3794.846907,33629031.03,14877311.75,2078823.66,3921915.619,5747344.072
293,8105228.497,127809.2157,326408651,14522601.9,112047.5817,248619.4118,221093.8889,970965.6863,4190435.621,886522.7124,494609.2484,11623192.78,106858061.7,106183.4314,39937.9085,2312677.745,387026.0131,1792239.346,189365,41824183.82,20925.88235,1030682.745,4978802.026,1030682.745,2067150.556,201682.4837,114515.0327,65209.5098,1220043.791,515859.3791,96562.7451,357839.7059,201793.2026,169846.8301,716082.7451,2445.14902,56231574.74,22047453.5,2153807.908,5420365.033,7156675.49
293,6150449.945,110449.0659,269523211.8,9603101.841,90161.62088,297088.2418,153969.1758,1553593.462,2744715.467,1428348.489,362172.2802,12551672.39,107261703.2,102833.3791,31041.15385,2320962.83,349630.1648,1517961.621,166075.8242,43511560.11,21703.54396,1167586.841,4644707.995,1167586.841,2176238.187,205184.7527,123599.5055,61899.47802,1433441.126,664695.5495,89440.27473,389580.1099,198961.8956,203585.8242,947905.3571,2485.851923,75195802.36,27856929.15,2350996.758,6511412.225,8390917.857
